block,time_s,raw_az_N,raw_az_S,raw_az_E,raw_az_W,raw_el_N,raw_el_S,raw_el_E,raw_el_W,smooth_az_N,smooth_az_S,smooth_az_E,smooth_az_W,smooth_el_N,smooth_el_S,smooth_el_E,smooth_el_W,centroid_x_m,centroid_y_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m,mean_dist_m
96,66.600,-120.0,-146.0,-154.0,-129.0,19.0,19.0,17.0,14.0,-118.7,-145.9,-32.2,-127.2,17.5,17.9,22.8,14.2,-302.810,-406.666,465.567,419.409,476.215,418.974,445.041
97,66.700,-120.0,-148.0,168.0,-126.0,18.0,18.0,35.0,14.0,-119.1,-146.2,-30.7,-127.2,17.6,18.0,22.5,14.2,-297.669,-401.489,460.163,414.104,470.749,413.737,439.688
98,66.800,-119.0,-147.0,159.0,-131.0,17.0,19.0,36.0,13.0,-119.3,-146.6,0.1,-127.7,17.6,18.2,24.6,13.9,-216.775,-399.206,426.279,377.245,433.754,382.580,404.964
99,66.900,-119.0,-148.0,156.0,-129.0,17.0,18.0,43.0,14.0,-119.6,-146.9,0.5,-127.8,17.6,18.3,27.9,14.0,-213.390,-417.387,436.899,386.790,443.853,393.230,415.193
100,67.000,-119.0,-148.0,166.0,-130.0,17.0,18.0,50.0,14.0,-119.7,-147.1,2.0,-128.1,17.5,18.3,28.9,14.0,-209.168,-424.369,440.084,389.491,446.720,396.560,418.214
101,67.100,-122.0,-149.0,-155.0,-127.0,18.0,19.0,18.0,14.0,-119.9,-147.2,-27.6,-128.2,17.4,18.4,26.3,14.0,-270.789,-424.686,462.941,414.526,472.039,417.142,441.662
102,67.200,-121.0,-150.0,-157.0,-130.0,17.0,20.0,17.0,14.0,-120.0,-147.6,-27.8,-128.5,17.4,18.6,26.5,14.0,-267.589,-425.226,461.993,413.428,470.959,416.291,440.668
103,67.300,-121.0,-149.0,-157.0,-129.0,17.0,19.0,17.0,15.0,-120.1,-147.8,-28.2,-128.6,17.4,18.7,26.6,14.0,-266.573,-425.774,461.933,413.301,470.850,416.260,440.586
104,67.400,-123.0,-149.0,-158.0,-130.0,18.0,19.0,18.0,14.0,-120.3,-148.0,-28.6,-128.7,17.5,18.8,26.7,14.0,-264.901,-425.298,460.966,412.296,469.830,415.349,439.610
105,67.500,-123.0,-150.0,-162.0,-131.0,19.0,18.0,17.0,15.0,-120.7,-148.4,-29.4,-129.2,17.7,18.7,26.8,14.1,-261.666,-425.769,459.985,411.170,468.716,414.470,438.585
106,67.600,-121.0,-150.0,-157.0,-129.0,17.0,18.0,17.0,15.0,-120.8,-148.8,-29.7,-129.2,17.5,18.6,26.8,14.2,-261.442,-428.732,461.779,412.803,470.439,416.259,440.320
107,67.700,-124.0,-150.0,-158.0,-131.0,17.0,18.0,18.0,15.0,-121.2,-149.0,-62.3,-129.7,17.4,18.6,25.1,14.3,-316.276,-474.812,513.500,464.335,523.152,466.300,491.822
108,67.800,-123.0,-150.0,-155.0,-132.0,19.0,18.0,18.0,16.0,-121.6,-149.3,-93.7,-129.8,17.6,18.5,23.3,14.6,-341.025,-543.123,567.965,516.891,577.102,520.178,545.534
109,67.900,-123.0,-150.0,-157.0,-131.0,19.0,20.0,17.0,15.0,-122.0,-149.5,-125.0,-130.0,17.8,18.7,20.7,14.7,-329.773,-626.494,619.825,565.819,627.247,572.513,596.351
110,68.000,-123.0,-152.0,-158.0,-131.0,19.0,19.0,19.0,15.0,-122.4,-149.9,-157.4,-130.1,18.0,18.8,17.6,14.8,-267.466,-714.875,663.085,605.721,667.467,617.866,638.535
111,68.100,-123.0,-150.0,-157.0,-132.0,19.0,19.0,20.0,15.0,-122.5,-150.0,-157.6,-130.6,18.1,18.8,17.8,14.9,-263.147,-711.614,659.477,602.080,663.765,614.376,634.924
112,68.200,-123.0,-151.0,-157.0,-133.0,18.0,20.0,20.0,16.0,-122.7,-150.1,-157.6,-130.9,18.2,18.8,18.1,15.1,-258.916,-705.932,654.112,596.724,658.336,609.119,629.573
113,68.300,-121.0,-152.0,-159.0,-134.0,17.0,19.0,19.0,15.0,-122.7,-150.4,-157.8,-131.4,18.2,18.8,18.3,15.1,-255.130,-704.898,652.316,594.871,656.436,607.438,627.765
114,68.400,-122.0,-152.0,-159.0,-134.0,18.0,19.0,19.0,14.0,-122.6,-150.7,-157.9,-131.8,18.2,18.8,18.4,15.1,-252.730,-704.643,651.481,593.993,655.530,606.679,626.921
115,68.500,-127.0,-153.0,-159.0,-134.0,18.0,19.0,19.0,14.0,-123.0,-151.0,-157.6,-132.1,18.1,18.9,18.6,15.0,-250.107,-704.213,650.461,592.929,654.434,605.741,625.891
116,68.600,-126.0,-153.0,-159.0,-134.0,18.0,19.0,19.0,15.0,-123.5,-151.3,-157.8,-132.6,18.2,19.0,18.8,15.0,-244.224,-701.737,647.073,589.468,650.890,602.534,622.491
117,68.700,-124.0,-153.0,-159.0,-137.0,19.0,19.0,19.0,15.0,-123.5,-151.6,-157.9,-133.2,18.4,19.1,18.9,15.0,-240.138,-698.874,643.884,586.249,647.605,599.470,619.302
118,68.800,-127.0,-153.0,-159.0,-137.0,20.0,19.0,19.0,15.0,-123.9,-151.9,-158.3,-133.7,18.5,19.2,19.0,14.9,-234.821,-698.571,642.301,584.571,645.857,598.063,617.698
119,68.900,-124.0,-153.0,-159.0,-137.0,19.0,19.0,19.0,15.0,-124.0,-152.2,-158.5,-134.3,18.5,19.1,19.2,14.9,-230.864,-698.617,641.342,583.540,644.773,597.240,616.724
120,69.000,-126.0,-153.0,-159.0,-137.0,18.0,19.0,19.0,15.0,-124.3,-152.3,-158.6,-134.9,18.4,19.1,19.2,14.9,-227.871,-700.665,642.132,584.245,645.446,598.140,617.491
